brand,auto_discovered_brand,source_site,source_title,source_price,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,gross_profit,profit_rate,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hint_top3,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_band_top3,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,note,candidate_rank
MAISON CANAU,False,RAGTAG,MAISON CANAU(メゾンカナウ)ハンドバッグ 紺 サイズ:-/2200647743010,34100,https://www.ragtag.jp/brand/A8719/item/A871926J0001,available,67135,65772,6,3,66860,6686,750,25324,0.7426,バッグ,True,,,True,False,False,True,,unknown,,,unknown,unknown,,,black,black,unknown,unknown,"black,unknown,unknown",black,unknown,unknown,"black,unknown,unknown",False,unknown,"canau,maison,メゾンカナウ,ハンドバッグ,サイズ",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=6) / 売れ筋上位色帯=black,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",hold
WANDLER,False,Yahooショッピング,WANDLER ショルダーバッグ/レザー/BRW/無地,20460,https://store.shopping.yahoo.co.jp/ssol-shopping/2344900631208.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,50900,5090,750,24600,1.2023,バッグ,True,,,True,True,False,True,brw,brown,,brown,brown,brown,,brown,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",True,strong,"wandler,ショルダーバッグ,レザー,brown",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=brown / 売れ筋上位色と一致",honmei
WANDLER,False,Yahooショッピング,WANDLER ハンドバッグ/レザー/RED/無地,7260,https://store.shopping.yahoo.co.jp/ssol-shopping/2341825141157.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,34600,3460,750,23130,3.186,バッグ,True,,,False,True,False,True,red,red,,red,red,red-pink,,red-pink,brown,brown,beige,unknown,"brown,beige,unknown",brown,white-beige,unknown,"brown,white-beige,unknown",False,flashy,"wandler,レザー,ハンドバッグ",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,white-beige,unknown / 商品配色=red-pink / 人気色不一致で派手色主体",hold
MAISON CANAU,False,楽天市場,中古 MAISON CANAUROUND BOSTON S ハンドバッグ ブラウン,40260,https://item.rakuten.co.jp/kind-u/8077000855291/?variantId=8077000855291&scid=seo-carousel-search,available,67135,65772,6,3,67000,6700,750,19290,0.4791,バッグ,True,,,True,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,brown,brown,unknown,unknown,"brown,unknown,unknown",brown,unknown,unknown,"brown,unknown,unknown",True,strong,"boston,maison,s,brown,ハンドバッグ,ブラウン",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=6) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=brown / 売れ筋上位色と一致",hold
MAISON CANAU,False,Yahooショッピング,MAISON CANAU ROUND BOSTON S ハンドバッグ ブラウン (EC),40260,https://store.shopping.yahoo.co.jp/kindal/8077000855291.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,67135,65772,6,3,67000,6700,750,19290,0.4791,バッグ,True,,,True,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,brown,brown,unknown,unknown,"brown,unknown,unknown",brown,unknown,unknown,"brown,unknown,unknown",True,strong,"boston,canau,maison,round,s,brown,ハンドバッグ,ブラウン",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=6) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=brown / 売れ筋上位色と一致",hold
MAISON CANAU,False,RAGTAG,MAISON CANAU(メゾンカナウ)ハンドバッグ 紺 サイズ:-/2200647743027,40700,https://www.ragtag.jp/brand/A8719/item/A871926J0002,available,67135,65772,6,3,66860,6686,750,18724,0.46,バッグ,True,,,True,False,False,True,,unknown,,,unknown,unknown,,,black,black,unknown,unknown,"black,unknown,unknown",black,unknown,unknown,"black,unknown,unknown",False,unknown,"canau,maison,メゾンカナウ,ハンドバッグ,サイズ",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=6) / 売れ筋上位色帯=black,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",hold
MAISON CANAU,False,RAGTAG,MAISON CANAU(メゾンカナウ)ハンドバッグ グレー サイズ:-/2200647743034,40700,https://www.ragtag.jp/brand/A8719/item/A871926J0003,available,67135,65772,6,3,66860,6686,750,18724,0.46,バッグ,True,,,True,False,False,True,,unknown,,,unknown,unknown,,,black,black,unknown,unknown,"black,unknown,unknown",black,unknown,unknown,"black,unknown,unknown",False,unknown,"canau,maison,メゾンカナウ,ハンドバッグ,サイズ",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=6) / 売れ筋上位色帯=black,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",hold
WANDLER,False,楽天市場,中古 良品 WANDLER ワンドラー エナメル ショルダーバッグ ホワイト レディース Luxs ブランド古着のリュクス,12550,https://item.rakuten.co.jp/luxs/343584001015/?variantId=343584001015&scid=seo-carousel-search,available,32400,34330,12,3,32500,3250,750,15950,1.2709,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",False,neutral,"wandler,ショルダーバッグ,レディース,ワンドラー",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色",hold
WANDLER,False,Yahooショッピング,良品 WANDLER ワンドラー エナメル ショルダーバッグ ホワイト レディース 古着 中古,12550,https://store.shopping.yahoo.co.jp/kigaeru/343584001015.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,32500,3250,750,15950,1.2709,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",False,neutral,"wandler,ショルダーバッグ,レディース,ワンドラー",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色",hold
WANDLER,False,Yahooショッピング,WANDLER ショルダーバッグ/レザー/GRN,33660,https://store.shopping.yahoo.co.jp/ssol-shopping/2344950520040.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,50900,5090,750,11400,0.3387,バッグ,True,,,True,True,False,True,,unknown,,,unknown,unknown,,,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",False,unknown,"wandler,ショルダーバッグ,レザー",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",hold
WANDLER,False,Yahooショッピング,WANDLER ショルダーバッグ/--/PNK/無地,33660,https://store.shopping.yahoo.co.jp/ssol-shopping/2341825128462.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,50900,5090,750,11400,0.3387,バッグ,True,,,True,False,False,True,,unknown,,,unknown,unknown,,,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",False,unknown,"wandler,ショルダーバッグ",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",hold
WANDLER,False,Yahooショッピング,値下げ WANDLER ショルダーバッグ ホワイト (神戸店),17160,https://store.shopping.yahoo.co.jp/kindal/8055000495761.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32400,34330,12,3,32500,3250,750,11340,0.6608,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,white,white,brown,unknown,"white,brown,unknown",white-beige,brown,unknown,"white-beige,brown,unknown",True,strong,"wandler,ショルダーバッグ,white,ホワイト",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=white-beige,brown,unknown / 商品配色=white-beige / 売れ筋上位色と一致",honmei
